devicecode,Level1,Level2,Level3,Level4,Weighted,sbbm,Color
30M00000052034716,新疆,750kV,750kV三塘湖变电站,71512 电抗器A相,1,30M00000052034716,34
30M00000039596413,新疆,750kV,750kV五彩湾变电站,3#C相主变压器,1,30M00000039596413,34
30M00000037657160,新疆,750kV,750kV吐鲁番变电站,70914A相高压电抗器,1,30M00000037657160,34
30M00000038785726,新疆,750kV,750kV达坂城变电站,7144B相电抗器,1,30M00000038785726,34
30M00000038785495,新疆,750kV,750kV达坂城变电站,2#B相主变压器,1,30M00000038785495,34
30M00000038785727,新疆,750kV,750kV达坂城变电站,7144C相电抗器,1,30M00000038785727,34
30M00000042048972,新疆,750kV,750kV亚中变电站,3#A相主变压器,1,30M00000042048972,34
30M00000042724945,新疆,750kV,750kV哈密变电站,2#A相主变压器,1,30M00000042724945,34
30M00000038785575,新疆,750kV,750kV达坂城变电站,2#C相主变压器,1,30M00000038785575,34
30M00000039172462,新疆,750kV,750kV库车变电站,2#A相主变压器,1,30M00000039172462,34
30M00000039172480,新疆,750kV,750kV库车变电站,2#B相主变压器,1,30M00000039172480,34
30M00000039172514,新疆,750kV,750kV库车变电站,7149C相电抗器,1,30M00000039172514,34
30M00000058587054,新疆,750kV,750kV乌苏变电站,1#主变压器A相,1,30M00000058587054,34
30M00000039159393,新疆,750kV,750kV乌北变电站,7141B相电抗器,1,30M00000039159393,34
30M00000037657600,新疆,750kV,750kV吐鲁番变电站,70914C相高压电抗器,1,30M00000037657600,34
30M00000039159413,新疆,750kV,750kV乌北变电站,7141C相电抗器,1,30M00000039159413,34
30M00000042714914,新疆,750kV,750kV库车变电站,7157高压电抗器B相电抗器,1,30M00000042714914,34
30M00000042714896,新疆,750kV,750kV库车变电站,7157高压电抗器C相电抗器,1,30M00000042714896,34
30M00000051929301,新疆,750kV,750kV烟墩变电站,3#主变压器C相,1,30M00000051929301,34
30M00000042715332,新疆,750kV,750kV阿克苏变电站,1#B相主变压器,1,30M00000042715332,34
30M00000042715361,新疆,750kV,750kV阿克苏变电站,阿克苏7158A相电抗器,1,30M00000042715361,34
30M00000042715340,新疆,750kV,750kV阿克苏变电站,阿克苏7158B相电抗器,1,30M00000042715340,34
30M00000051929258,新疆,750kV,750kV烟墩变电站,1#主变压器A相,1,30M00000051929258,34
30M00000058347160,新疆,750kV,750kV芨芨湖变电站,1#主变压器B相,1,30M00000058347160,34
30M00000058347279,新疆,750kV,750kV芨芨湖变电站,71512电抗器A相,1,30M00000058347279,34
30M00000042715255,新疆,750kV,750kV巴楚变电站,巴楚7158B相电抗器,1,30M00000042715255,34
30M00000058347793,新疆,750kV,750kV五彩湾变电站,71511电抗器A相,1,30M00000058347793,34
30M00000051976739,新疆,750kV,750kV喀什变电站,2#主变压器A相,1,30M00000051976739,34
30M00000051976744,新疆,750kV,750kV喀什变电站,2#主变压器C相,1,30M00000051976744,34
30M00000058347329,新疆,750kV,750kV芨芨湖变电站,71513电抗器B相,1,30M00000058347329,34
30M00000058347338,新疆,750kV,750kV芨芨湖变电站,71510电抗器B相,1,30M00000058347338,34
30M00000042725067,新疆,750kV,750kV哈密变电站,2#B相主变压器,1,30M00000042725067,34
30M00000058347332,新疆,750kV,750kV芨芨湖变电站,71513电抗器C相,1,30M00000058347332,34
30M00000039596342,新疆,750kV,750kV乌北变电站,71414B相电抗器,1,30M00000039596342,34
30M00000058587046,新疆,750kV,750kV乌苏变电站,1#主变压器B相,1,30M00000058587046,34
30M00000042626033,新疆,750kV,750kV吐鲁番变电站,1#B相主变压器,1,30M00000042626033,34
30M00000039159425,新疆,750kV,750kV吐鲁番变电站,70911A相电抗器,1,30M00000039159425,34
30M00000039159430,新疆,750kV,750kV吐鲁番变电站,70911B相电抗器,1,30M00000039159430,34
30M00000058347162,新疆,750kV,750kV芨芨湖变电站,1#主变压器C相,1,30M00000058347162,34
30M00000058347284,新疆,750kV,750kV芨芨湖变电站,71512电抗器C相,1,30M00000058347284,34
30M00000038785690,新疆,750kV,750kV达坂城变电站,7144A相电抗器,1,30M00000038785690,34
30M00000057568879,新疆,750kV,750kV哈密变电站,71514哈塘一线高压电抗器C相,1,30M00000057568879,34
30M00000039159400,新疆,750kV,750kV乌北变电站,7141A相电抗器,1,30M00000039159400,34
30M00000042715328,新疆,750kV,750kV巴楚变电站,巴楚7159C相电抗器,1,30M00000042715328,34
30M00000039125539,新疆,750kV,750kV巴州变电站,7149A相电抗器,1,30M00000039125539,34
30M00000042714893,新疆,750kV,750kV库车变电站,7157高压电抗器A相电抗器,1,30M00000042714893,34
30M00000058348086,新疆,750kV,750kV五彩湾变电站,71511电抗器C相,1,30M00000058348086,34
30M00000042715210,新疆,750kV,750kV巴楚变电站,巴楚7158A相电抗器,1,30M00000042715210,34
30M00000058347148,新疆,750kV,750kV芨芨湖变电站,1#主变压器A相,1,30M00000058347148,34
30M00000039596398,新疆,750kV,750kV五彩湾变电站,2#C相主变压器,1,30M00000039596398,34
30M00000042625893,新疆,750kV,750kV吐鲁番变电站,1#A相主变压器,1,30M00000042625893,34
30M00000039596338,新疆,750kV,750kV乌北变电站,71414A相电抗器,1,30M00000039596338,34
30M00000042715356,新疆,750kV,750kV阿克苏变电站,阿克苏7157A相电抗器,1,30M00000042715356,34
30M00000042715336,新疆,750kV,750kV阿克苏变电站,阿克苏7157B相电抗器,1,30M00000042715336,34
30M00000042715364,新疆,750kV,750kV阿克苏变电站,阿克苏7158C相电抗器,1,30M00000042715364,34
