Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total,sbbm,colorLevel
全国,安徽,1000kV,1000kV特高压淮南站,备用备用相主变压器,0.1,,,,,,12M00000044288706,4
全国,安徽,1000kV,1000kV特高压淮南站,备用主变,0.1,,,,,,12M00000044445771,0
全国,安徽,1000kV,1000kV特高压淮南站,#2主变压器A相,0.1,,,,,,12M00000039426340,5
全国,安徽,1000kV,1000kV特高压淮南站,#2主变压器C相,0.1,,,,,,12M00000039426337,4
全国,安徽,1000kV,1000kV特高压淮南站,#1主变压器C相,0.1,,,,,,12M00000039426322,1
全国,安徽,1000kV,1000kV特高压淮南站,#1主变压器B相,0.1,,,,,,12M00000039426320,7
全国,安徽,1000kV,1000kV特高压淮南站,#1主变压器A相,0.1,,,,,,12M00000039426317,5
全国,安徽,1000kV,1000kV特高压淮南站,#2主变压器B相,0.1,,,,,,12M00000039426334,3
全国,安徽,1000kV,1000kV特高压芜湖站,#1主变压器B相,0.1,,,,,,12M00000039424827,7
全国,安徽,1000kV,1000kV特高压芜湖站,#1主变压器C相,0.1,,,,,,12M00000039424829,2
全国,安徽,1000kV,1000kV特高压芜湖站,#1主变压器A相,0.1,,,,,,12M00000039423657,1
全国,安徽,1000kV,1000kV特高压芜湖站,#1主变压器备用相,0.1,,,,,,12M00000044394041,7
全国,福建,1000kV,1000kV榕城变,3号A主变,0.1,,,,,,13M0100KB00000864,9
全国,福建,1000kV,1000kV榕城变,3号C主变,0.1,,,,,,13M0100KB00000863,4
全国,福建,1000kV,1000kV榕城变,3号B主变,0.1,,,,,,13M0100KB00000860,4
全国,福建,1000kV,1000kV榕城变,2号B主变,0.1,,,,,,13M0100KB00000874,2
全国,福建,1000kV,1000kV榕城变,2号A主变,0.1,,,,,,13M0100KB00000875,9
全国,福建,1000kV,1000kV榕城变,2号C主变,0.1,,,,,,13M0100KB00000873,2
全国,福建,1000kV,1000kV榕城变,主变主体变备用相O相,0.1,,,,,,13M0100KB00000893,1
全国,甘肃,330kV,330kV柏林变电站,2号主变压器,0.1,,,,,,27M00000019982648,1
全国,甘肃,330kV,330kV柏林变电站,3号主变压器,0.1,,,,,,27M00000019981057,0
全国,陕西,330kV,330kV北郊变电站,1#主变压器,0.1,,,,,,26M00000012023545,0
全国,陕西,330kV,330kV北郊变电站,2#主变压器,0.1,,,,,,26M00000012023546,2
全国,陕西,330kV,330kV北郊变电站,3#主变压器,0.1,,,,,,26M00000012023547,5
全国,甘肃,330kV,330kV炳灵变电站,2号主变压器,0.1,,,,,,27M00000021515595,8
